"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @farnazfassihi: A 345-seat chartered plane to evacuate Afghans leaves Kabul empty today because they couldn't get through Taliban checkp…",FALSE,0,NA,2021-08-25 18:13:51,FALSE,NA,"1430594284621901835",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BrianGoodwin8",150,TRUE,FALSE,NA,NA
"@LeaderMcConnell If Trump made a deal with the Taliban in Feb. 2020. 
Freed 5,000 Taliban prisoners.
Reduced Americ… https://t.co/CvEPzqgrNZ",FALSE,0,"LeaderMcConnell",2021-08-25 18:13:50,TRUE,"1430337501009416195","1430594283397132294","1249982359","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","radaly001",0,FALSE,FALSE,NA,NA
"RT @kurdistannews24: Video:Taliban Terrorists deployed barrels of explosion   to blow up #Panjshir Bridge in #Afghanistan 

in new video on…",FALSE,0,NA,2021-08-25 18:13:50,FALSE,NA,"1430594282407137283",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sharad739880663",9,TRUE,FALSE,NA,NA
"RT @SiaKordestani: Never forget that in March 2001 the Taliban destroyed the Buddhas of Bamiyan, monumental statues made in 6th century Afg…",FALSE,0,NA,2021-08-25 18:13:50,FALSE,NA,"1430594281723494403",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","JuliaRV",26,TRUE,FALSE,NA,NA
"RT @ddale8: Kevin McCarthy warned on Fox that there are 5,000 prisoners who “just left Afghanistan” and are hoping to cross US borders. The…",FALSE,0,NA,2021-08-25 18:13:49,FALSE,NA,"1430594276786905092",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Adrienne_Fox",2492,TRUE,FALSE,NA,NA
"RT @AnsarAAbbasi: What Taliban think of those Afghans leaving the country, and what is their message for the families of US, British and Na…",FALSE,0,NA,2021-08-25 18:13:49,FALSE,NA,"1430594275159519240",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","farjaam83",358,TRUE,FALSE,NA,NA
"RT @alinazary: Newly graduated cadets of the National Resistance Front of Afghanistan (NRF)
https://t.co/GUlfgywrR0",FALSE,0,NA,2021-08-25 18:13:48,FALSE,NA,"1430594275050409989",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","StratAegean",27,TRUE,FALSE,NA,NA
"RT @TimMadigan9: It would be nice to see the media put some of the blame for the disastrous situation in Afghanistan, on the Taliban.",FALSE,0,NA,2021-08-25 18:13:48,FALSE,NA,"1430594271682383872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","omitbdf",14,TRUE,FALSE,NA,NA
"RT @ddale8: Kevin McCarthy warned on Fox that there are 5,000 prisoners who “just left Afghanistan” and are hoping to cross US borders. The…",FALSE,0,NA,2021-08-25 18:13:47,FALSE,NA,"1430594268951977986",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","redbluepills",2492,TRUE,FALSE,NA,NA
"RT @ddale8: Kevin McCarthy warned on Fox that there are 5,000 prisoners who “just left Afghanistan” and are hoping to cross US borders. The…",FALSE,0,NA,2021-08-25 18:13:46,FALSE,NA,"1430594264921038849",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","stutteringjohnm",2492,TRUE,FALSE,NA,NA
"RT @RoryStewartUK: “The US contractors took proprietary software and weapons systems with them + removed our helicopter missile-defense sys…",FALSE,0,NA,2021-08-25 18:13:46,FALSE,NA,"1430594264338161664",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","siddy_dan",46,TRUE,FALSE,NA,NA
"RT @ddale8: Kevin McCarthy warned on Fox that there are 5,000 prisoners who “just left Afghanistan” and are hoping to cross US borders. The…",FALSE,0,NA,2021-08-25 18:13:46,FALSE,NA,"1430594263700606976",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MistiF10",2492,TRUE,FALSE,NA,NA
