METHOD - 1 ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,group_popularity,notes,,,,,
DAUPSA,29-08-2021,29-08-2021,Domestic Auto Production,01-01-1993,01-07-2021,Monthly,M,Thousands of Units,Thous. of Units,Seasonally Adjusted,SA,27-08-2021 07:59,62,63,Domestic auto production is defined as all autos assembled in the U.S.,,,,,
DAUPNSA,29-08-2021,29-08-2021,Domestic Auto Production,01-01-1993,01-07-2021,Monthly,M,Thousands of Units,Thous. of Units,Not Seasonally Adjusted,NSA,27-08-2021 07:59,27,63,Domestic auto production is defined as all autos assembled in the U.S.,,,,,
IPG3361T3S,29-08-2021,29-08-2021,Industrial Production: Manufacturing: Durable Goods: Motor Vehicles and Parts (NAICS = 3361-3),01-01-1972,01-07-2021,Monthly,M,Index 2017=100,Index 2017=100,Seasonally Adjusted,SA,17-08-2021 08:18,44,46,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

NAICS = 3361-3

Source Code: IP.G3361T3.S",,,,,
IPG3361T3N,29-08-2021,29-08-2021,Industrial Production: Manufacturing: Durable Goods: Motor Vehicles and Parts (NAICS = 3361-3),01-01-1972,01-07-2021,Monthly,M,Index 2017=100,Index 2017=100,Not Seasonally Adjusted,NSA,17-08-2021 08:19,16,46,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

NAICS = 3361-3

Source Code: IP.G3361T3.N",,,,,
IPG3361T3SQ,29-08-2021,29-08-2021,Industrial Production: Manufacturing: Durable Goods: Motor Vehicles and Parts (NAICS = 3361-3),01-01-1972,01-04-2021,Quarterly,Q,Index 2017=100,Index 2017=100,Seasonally Adjusted,SA,17-08-2021 08:19,2,46,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

NAICS = 3361-3

Source Code: IP.G3361T3.S",,,,,
IPG3361T3NQ,29-08-2021,29-08-2021,Industrial Production: Manufacturing: Durable Goods: Motor Vehicles and Parts (NAICS = 3361-3),01-01-1972,01-04-2021,Quarterly,Q,Index 2017=100,Index 2017=100,Not Seasonally Adjusted,NSA,17-08-2021 08:21,1,46,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

NAICS = 3361-3

Source Code: IP.G3361T3.N",,,,,
G17MVSFAUTOS,29-08-2021,29-08-2021,Regular Seasonal Factors: Auto Production,01-01-1996,01-06-2022,Monthly,M,Seasonal Factor,Seasonal Factor,Not Seasonally Adjusted,NSA,15-04-2021 11:17,25,24,"A seasonal factor measures the percentage amount that on average, monthly production is above or below normal. A seasonal factor of 120 states that the month in question will usually be 20% above an average month's production level. Similarly, a seasonal factor of 100 implies an average month, while a factor of 80 implies a month that is typically 20% below average.

The not seasonally adjusted (NSA) data for auto assemblies (https://fred.stlouisfed.org/series/MVAAUTOASN) are obtained from Ward's Communications, and the seasonal factors (SF), which contain adjustments for holiday and length-of-month effects as well as normal seasonal variation, are applied to MVAAUTOASN (https://fred.stlouisfed.org/series/MVAAUTOASN) using the formula found here (https://www.federalreserve.gov/releases/g17/mvsf.htm).",,,,,
IPG336111S,29-08-2021,29-08-2021,Industrial Production: Manufacturing: Durable Goods: Automobile (NAICS = 336111),01-01-1972,01-07-2021,Monthly,M,Index 2017=100,Index 2017=100,Seasonally Adjusted,SA,17-08-2021 08:19,11,16,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

NAICS = 336111

Source Code: IP.G336111.S",,,,,
IPG336111N,29-08-2021,29-08-2021,Industrial Production: Manufacturing: Durable Goods: Automobile (NAICS = 336111),01-01-1972,01-07-2021,Monthly,M,Index 2017=100,Index 2017=100,Not Seasonally Adjusted,NSA,17-08-2021 08:20,5,16,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

NAICS = 336111

Source Code: IP.G336111.N",,,,,
IPG336111SQ,29-08-2021,29-08-2021,Industrial Production: Manufacturing: Durable Goods: Automobile (NAICS = 336111),01-01-1972,01-04-2021,Quarterly,Q,Index 2017=100,Index 2017=100,Seasonally Adjusted,SA,17-08-2021 08:21,3,16,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

NAICS = 336111

Source Code: IP.G336111.S",,,,,
IPG336111NQ,29-08-2021,29-08-2021,Industrial Production: Manufacturing: Durable Goods: Automobile (NAICS = 336111),01-01-1972,01-04-2021,Quarterly,Q,Index 2017=100,Index 2017=100,Not Seasonally Adjusted,NSA,17-08-2021 08:21,1,16,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

NAICS = 336111

Source Code: IP.G336111.N",,,,,
IPB51110S,29-08-2021,29-08-2021,Industrial Production: Durable Consumer Goods: Automotive Products,01-01-1947,01-07-2021,Monthly,M,Index 2017=100,Index 2017=100,Seasonally Adjusted,SA,17-08-2021 08:18,14,15,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

Source Code: IP.B51110.S",,,,,
IPG33611S,29-08-2021,29-08-2021,Industrial Production: Manufacturing: Durable Goods: Automobile and Light Duty Motor Vehicle (NAICS = 33611),01-01-1972,01-07-2021,Monthly,M,Index 2017=100,Index 2017=100,Seasonally Adjusted,SA,17-08-2021 08:18,14,15,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

NAICS = 33611

Source Code: IP.G33611.S",,,,,
IPG33611N,29-08-2021,29-08-2021,Industrial Production: Manufacturing: Durable Goods: Automobile and Light Duty Motor Vehicle (NAICS = 33611),01-01-1972,01-07-2021,Monthly,M,Index 2017=100,Index 2017=100,Not Seasonally Adjusted,NSA,17-08-2021 08:20,3,15,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

NAICS = 33611

Source Code: IP.G33611.N",,,,,
IPB51110N,29-08-2021,29-08-2021,Industrial Production: Durable Consumer Goods: Automotive Products,01-01-1947,01-07-2021,Monthly,M,Index 2017=100,Index 2017=100,Not Seasonally Adjusted,NSA,17-08-2021 08:19,1,15,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

Source Code: IP.B51110.N",,,,,
IPB51110SQ,29-08-2021,29-08-2021,Industrial Production: Durable Consumer Goods: Automotive Products,01-01-1947,01-04-2021,Quarterly,Q,Index 2017=100,Index 2017=100,Seasonally Adjusted,SA,17-08-2021 08:22,1,15,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

Source Code: IP.B51110.S",,,,,
IPB51110NQ,29-08-2021,29-08-2021,Industrial Production: Durable Consumer Goods: Automotive Products,01-01-1947,01-04-2021,Quarterly,Q,Index 2017=100,Index 2017=100,Not Seasonally Adjusted,NSA,17-08-2021 08:22,1,15,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

Source Code: IP.B51110.N",,,,,
IPG33611NQ,29-08-2021,29-08-2021,Industrial Production: Manufacturing: Durable Goods: Automobile and Light Duty Motor Vehicle (NAICS = 33611),01-01-1972,01-04-2021,Quarterly,Q,Index 2017=100,Index 2017=100,Not Seasonally Adjusted,NSA,17-08-2021 08:21,1,15,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

NAICS = 33611

Source Code: IP.G33611.N",,,,,
IPG33611SQ,29-08-2021,29-08-2021,Industrial Production: Manufacturing: Durable Goods: Automobile and Light Duty Motor Vehicle (NAICS = 33611),01-01-1972,01-04-2021,Quarterly,Q,Index 2017=100,Index 2017=100,Seasonally Adjusted,SA,17-08-2021 08:21,1,15,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

NAICS = 33611

Source Code: IP.G33611.S",,,,,
B140RC1A027NBEA,29-08-2021,29-08-2021,Automobile output: Net purchases of used autos,01-01-1947,01-01-2020,Annual,A,Billions of Dollars,Bil. of $,Not Seasonally Adjusted,NSA,29-07-2021 07:45,14,14,"BEA Account Code: B140RC

For more information about this series, please see http://www.bea.gov/national/.",,,,,
A133RC1Q027SBEA,29-08-2021,29-08-2021,Automobile output,01-01-1947,01-04-2021,Quarterly,Q,Billions of Dollars,Bil. of $,Seasonally Adjusted Annual Rate,SAAR,26-08-2021 07:52,7,10,"BEA Account Code: A133RC

For more information about this series, please see http://www.bea.gov/national/.",,,,,
A133RC1A027NBEA,29-08-2021,29-08-2021,Automobile output,01-01-1947,01-01-2020,Annual,A,Billions of Dollars,Bil. of $,Not Seasonally Adjusted,NSA,29-07-2021 07:48,3,10,"BEA Account Code: A133RC

For more information about this series, please see http://www.bea.gov/national/.",,,,,
B651RC1Q027SBEA,29-08-2021,29-08-2021,"Imports of goods: Automotive vehicles, engines, and parts",01-01-1967,01-04-2021,Quarterly,Q,Billions of Dollars,Bil. of $,Seasonally Adjusted Annual Rate,SAAR,26-08-2021 07:52,9,9,"BEA Account Code: B651RC

For more information about this series, please see http://www.bea.gov/national/.",,,,,
B651RC1A027NBEA,29-08-2021,29-08-2021,"Imports of goods: Automotive vehicles, engines, and parts",01-01-1967,01-01-2020,Annual,A,Billions of Dollars,Bil. of $,Not Seasonally Adjusted,NSA,29-07-2021 07:51,1,9,"BEA Account Code: B651RC

For more information about this series, please see http://www.bea.gov/national/.",,,,,
B149RC1Q027SBEA,29-08-2021,29-08-2021,Sales of imported new autos,01-01-1947,01-04-2021,Quarterly,Q,Billions of Dollars,Bil. of $,Seasonally Adjusted Annual Rate,SAAR,26-08-2021 07:52,9,9,"BEA Account Code: B149RC

For more information about this series, please see http://www.bea.gov/national/.",,,,,
B149RC1A027NBEA,29-08-2021,29-08-2021,Sales of imported new autos,01-01-1947,01-01-2020,Annual,A,Billions of Dollars,Bil. of $,Not Seasonally Adjusted,NSA,29-07-2021 07:51,1,9,"BEA Account Code: B149RC

For more information about this series, please see http://www.bea.gov/national/.",,,,,
IPXXX001S,29-08-2021,29-08-2021,Industrial Production: Manufacturing Excluding Motor Vehicles and Parts,01-01-1967,01-07-2021,Monthly,M,Index 2017=100,Index 2017=100,Seasonally Adjusted,SA,17-08-2021 08:19,7,7,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

Source Code: IP.XXX001.S",,,,,
IPG3361S,29-08-2021,29-08-2021,Industrial Production: Manufacturing: Durable Goods: Motor Vehicle (NAICS = 3361),01-01-1972,01-07-2021,Monthly,M,Index 2017=100,Index 2017=100,Seasonally Adjusted,SA,17-08-2021 08:18,6,7,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

NAICS = 3361

Source Code: IP.G3361.S",,,,,
B147RC1Q027SBEA,29-08-2021,29-08-2021,Automobile output: Change in private inventories of used autos,01-01-1947,01-04-2021,Quarterly,Q,Billions of Dollars,Bil. of $,Seasonally Adjusted Annual Rate,SAAR,26-08-2021 07:52,9,9,"BEA Account Code: B147RC

For more information about this series, please see http://www.bea.gov/national/.",,,,,
IPXXX001N,29-08-2021,29-08-2021,Industrial Production: Manufacturing Excluding Motor Vehicles and Parts,01-01-1967,01-07-2021,Monthly,M,Index 2017=100,Index 2017=100,Not Seasonally Adjusted,NSA,17-08-2021 08:20,1,7,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

Source Code: IP.XXX001.N",,,,,
IPXXX001SQ,29-08-2021,29-08-2021,Industrial Production: Manufacturing Excluding Motor Vehicles and Parts,01-01-1967,01-04-2021,Quarterly,Q,Index 2017=100,Index 2017=100,Seasonally Adjusted,SA,17-08-2021 08:22,1,7,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

Source Code: IP.XXX001.S",,,,,
IPXXX001NQ,29-08-2021,29-08-2021,Industrial Production: Manufacturing Excluding Motor Vehicles and Parts,01-01-1967,01-04-2021,Quarterly,Q,Index 2017=100,Index 2017=100,Not Seasonally Adjusted,NSA,17-08-2021 08:22,1,7,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

Source Code: IP.XXX001.N",,,,,
IPG3361N,29-08-2021,29-08-2021,Industrial Production: Manufacturing: Durable Goods: Motor Vehicle (NAICS = 3361),01-01-1972,01-07-2021,Monthly,M,Index 2017=100,Index 2017=100,Not Seasonally Adjusted,NSA,17-08-2021 08:20,1,7,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

NAICS = 3361

Source Code: IP.G3361.N",,,,,
IPG3361SQ,29-08-2021,29-08-2021,Industrial Production: Manufacturing: Durable Goods: Motor Vehicle (NAICS = 3361),01-01-1972,01-04-2021,Quarterly,Q,Index 2017=100,Index 2017=100,Seasonally Adjusted,SA,17-08-2021 08:21,1,7,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

NAICS = 3361

Source Code: IP.G3361.S",,,,,
IPG3361NQ,29-08-2021,29-08-2021,Industrial Production: Manufacturing: Durable Goods: Motor Vehicle (NAICS = 3361),01-01-1972,01-04-2021,Quarterly,Q,Index 2017=100,Index 2017=100,Not Seasonally Adjusted,NSA,17-08-2021 08:21,1,7,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

NAICS = 3361

Source Code: IP.G3361.N",,,,,
B147RC1A027NBEA,29-08-2021,29-08-2021,Automobile output: Change in private inventories of used autos,01-01-1947,01-01-2020,Annual,A,Billions of Dollars,Bil. of $,Not Seasonally Adjusted,NSA,29-07-2021 07:48,1,9,"BEA Account Code: B147RC

For more information about this series, please see http://www.bea.gov/national/.",,,,,
M0107AUSM543NNBR,29-08-2021,29-08-2021,"Automobile Production, Passenger Cars, Factory Production for United States",01-01-1913,01-03-1942,Monthly,M,Thousands of Cars,Thous. Of Cars,Not Seasonally Adjusted,NSA,15-08-2012 15:49,6,6,"Series Is Presented Here As Three Variables--(1)--Original Data, 1913-1942 (2)--Original Data, 1946-1963 (3)--Original Data, 1947-1968. Data For 1913-1921 Are Based On Reports Covering About 90 Percent Of The Industry; Data For 1922 On Are Based On Complete Information. All Data Exclude Foreign Imports And Foreign Assemblies Made From Parts Manufactured In The U.S. Source: U.S. Bureau Of The Census, Department Of Commerce, Data For 1913- June 1921: Survey Of Current Busness, June 1927. Data For July 1921-1942: Automobiles.

This NBER data series m01107a appears on the NBER website in Chapter 1 at http://www.nber.org/databases/macrohistory/contents/chapter01.html.

NBER Indicator: m01107a",,,,,
IPB51112S,29-08-2021,29-08-2021,Industrial Production: Durable Consumer Goods: Auto Parts and Allied Goods,01-01-1947,01-07-2021,Monthly,M,Index 2017=100,Index 2017=100,Seasonally Adjusted,SA,17-08-2021 08:18,6,6,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

Source Code: IP.B51112.S",,,,,
IPB51112N,29-08-2021,29-08-2021,Industrial Production: Durable Consumer Goods: Auto Parts and Allied Goods,01-01-1947,01-07-2021,Monthly,M,Index 2017=100,Index 2017=100,Not Seasonally Adjusted,NSA,17-08-2021 08:21,1,6,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

Source Code: IP.B51112.N",,,,,
IPB51112SQ,29-08-2021,29-08-2021,Industrial Production: Durable Consumer Goods: Auto Parts and Allied Goods,01-01-1947,01-04-2021,Quarterly,Q,Index 2017=100,Index 2017=100,Seasonally Adjusted,SA,17-08-2021 08:22,1,6,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

Source Code: IP.B51112.S",,,,,
IPB51112NQ,29-08-2021,29-08-2021,Industrial Production: Durable Consumer Goods: Auto Parts and Allied Goods,01-01-1947,01-04-2021,Quarterly,Q,Index 2017=100,Index 2017=100,Not Seasonally Adjusted,NSA,17-08-2021 08:22,1,6,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

Source Code: IP.B51112.N",,,,,
A953RC1Q027SBEA,29-08-2021,29-08-2021,Motor vehicle output,01-01-1967,01-04-2021,Quarterly,Q,Billions of Dollars,Bil. of $,Seasonally Adjusted Annual Rate,SAAR,26-08-2021 07:52,5,5,"BEA Account Code: A953RC

For more information about this series, please see http://www.bea.gov/national/.",,,,,
A953RC1A027NBEA,29-08-2021,29-08-2021,Motor vehicle output,01-01-1967,01-01-2020,Annual,A,Billions of Dollars,Bil. of $,Not Seasonally Adjusted,NSA,29-07-2021 07:52,1,5,"BEA Account Code: A953RC

For more information about this series, please see http://www.bea.gov/national/.",,,,,
M0144AUSM607NNBR,29-08-2021,29-08-2021,"Automobile Production, Trucks for United States",01-01-1913,01-03-1942,Monthly,M,Thousands of Trucks,Thous. Of Trucks,Not Seasonally Adjusted,NSA,15-08-2012 15:48,3,3,"Data Are For Factory Sales. Data Include Ambulances, Funeral Cars, Fire Apparatus, Street Sweepers, Buses And Road Tractors. Source: Data For 1913-1921: U.S. Department Of Commerce, Survy Of Current Business, June 1927, P. 22. Data For 1922-1940: U.S. Bureau Of The Census, Automobiles (Mimeograph Release).

This NBER data series m01144a appears on the NBER website in Chapter 1 at http://www.nber.org/databases/macrohistory/contents/chapter01.html.

NBER Indicator: m01144a",,,,,
A716RC1A027NBEA,29-08-2021,29-08-2021,Motor vehicle output: Truck output,01-01-1967,01-01-2020,Annual,A,Billions of Dollars,Bil. of $,Not Seasonally Adjusted,NSA,29-07-2021 07:47,2,3,"BEA Account Code: A716RC

For more information about this series, please see http://www.bea.gov/national/.",,,,,
